"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","2361","56","0","2018","A","","Alabama -- Statewide","Private","NAICS 2361 Residential building construction","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1694,6598,344934922,70354266,1037257,1005,52281,"",0.70,0.62,0.69,0.58,0.52,1.11,1.11,"",25,1.5,358,5.7,36876222,12.0,4818567,7.4,11869,1.2,56,5.9,2909,5.9
"01001","5","2361","76","0","2018","A","","Autauga County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,20,509394,201435,1187,484,25155,"",0.78,0.34,0.22,0.34,0.13,0.66,0.66,"",1,8.3,0,0.0,1177,0.2,-10719,-5.1,-63,-5.0,-5,-1.0,-256,-1.0
"01003","5","2361","76","0","2018","A","","Baldwin County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",154,703,44371314,7716845,99112,1214,63140,"",1.28,1.75,3.01,1.58,1.41,1.72,1.72,"",14,10.0,79,12.7,5364318,13.8,936804,13.8,10674,12.1,13,1.1,662,1.1
"01005","5","2361","76","0","2018","A","N","Barbour County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",0.38,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","2361","76","0","2018","A","N","Bibb County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.28,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","2361","76","0","2018","A","","Blount County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,22,594604,224805,4622,524,27234,"",1.01,0.47,0.36,0.46,0.70,0.77,0.77,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","2361","76","0","2018","A","N","Bullock County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","2361","76","0","2018","A","","Butler County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,33,878546,357288,2577,519,26963,"",0.87,0.90,0.69,0.83,0.34,0.78,0.78,"",0,0.0,-1,-2.9,-113885,-11.5,-63200,-15.0,-1133,-30.5,-44,-7.8,-2298,-7.9
"01015","5","2361","76","0","2018","A","","Calhoun County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",32,91,3341785,951854,18134,708,36790,"",0.66,0.38,0.35,0.39,0.49,0.93,0.93,"",2,6.7,-1,-1.1,-170218,-4.8,-21932,-2.3,-6722,-27.0,-28,-3.8,-1488,-3.9
"01017","5","2361","76","0","2018","A","N","Chambers County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,"N",0.43,0,0,0,0,0,0,"N",-1,-16.7,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","2361","76","0","2018","A","N","Cherokee County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,"N",0.88,0,0,0,0,0,0,"N",1,16.7,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","2361","76","0","2018","A","","Chilton County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,31,817595,286720,2440,513,26661,"",0.91,0.60,0.42,0.50,0.31,0.71,0.71,"",1,7.7,4,14.8,140246,20.7,20691,7.8,195,8.7,36,7.5,1880,7.6
"01023","5","2361","76","0","2018","A","","Choctaw County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,5,179152,69810,746,701,36438,"",0.67,0.24,0.17,0.26,0.11,0.73,0.73,"",1,33.3,1,25.0,7443,4.3,-10530,-13.1,272,57.4,-92,-11.6,-4772,-11.6
"01025","5","2361","76","0","2018","A","N","Clarke County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,"N",0.40,0,0,0,0,0,0,"N",-1,-16.7,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","2361","76","0","2018","A","N","Cleburne County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",0.71,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","2361","76","0","2018","A","","Coffee County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",22,49,1527291,449224,5685,605,31437,"",1.07,0.57,0.51,0.45,0.39,0.91,0.91,"",2,10.0,8,19.5,276246,22.1,65663,17.1,1215,27.2,24,4.1,1231,4.1
"01033","5","2361","76","0","2018","A","","Colbert County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",16,45,1350000,445268,8299,576,29945,"",0.64,0.35,0.24,0.30,0.30,0.68,0.68,"",3,23.1,10,28.6,352005,35.3,93797,26.7,-5293,-38.9,34,6.3,1766,6.3
"01037","5","2361","76","0","2018","A","N","Coosa County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.87,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","2361","76","0","2018","A","","Covington County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,52,1698275,536569,18314,626,32555,"",0.76,0.77,0.70,0.71,0.97,0.90,0.90,"",1,8.3,6,13.0,222922,15.1,69070,14.8,8685,90.2,8,1.3,424,1.3
"01041","5","2361","76","0","2018","A","N","Crenshaw County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.41,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","2361","76","0","2018","A","","Cullman County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",38,86,2774838,817396,8491,617,32110,"",1.08,0.55,0.46,0.45,0.36,0.83,0.84,"",-2,-5.0,-6,-6.5,-207704,-7.0,-157372,-16.1,-1403,-14.2,-5,-0.8,-250,-0.8
"01045","5","2361","76","0","2018","A","N","Dale County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,0,0,0,0,0,0,"N",0.54,0,0,0,0,0,0,"N",1,12.5,0,0,0,0,0,0,0,0,0,0,0,0
"01047","5","2361","76","0","2018","A","","Dallas County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,33,733468,276959,5779,426,22170,"",0.68,0.49,0.29,0.37,0.34,0.59,0.59,"",-1,-8.3,-10,-23.3,-303649,-29.3,-190057,-40.7,-4565,-44.1,-34,-7.4,-1763,-7.4
"01049","5","2361","76","0","2018","A","N","DeKalb County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,0,0,0,0,0,0,"N",0.39,0,0,0,0,0,0,"N",1,12.5,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","2361","76","0","2018","A","","Elmore County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",34,59,2182681,565292,5670,712,37047,"",1.28,0.55,0.58,0.48,0.39,1.05,1.06,"",-4,-10.5,1,1.7,173240,8.6,33747,6.3,191,3.5,42,6.3,2201,6.3
"01053","5","2361","76","0","2018","A","","Escambia County, Alabama","Private","NAICS 2361 Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",17,92,4668769,1029053,20204,972,50564,"",1.05,1.32,1.71,1.32,1.64,1.28,1.29,"N",-2,-10.5,0,0,0,0,0,0,0,0,0,0,0,0
